# year,month,oceanic_fraction,continental_fraction,land_fraction,forest_fraction
1.991000000000000000e+03,3.000000000000000000e+00,9.519957000939105463e-01,4.800429990608949538e-02,3.269421732211728188e-02,1.531008258397221176e-02
1.991000000000000000e+03,4.000000000000000000e+00,8.714770061816667912e-01,1.285229938183331810e-01,5.003742450179667067e-02,7.848556931653651036e-02
1.991000000000000000e+03,5.000000000000000000e+00,8.459743749885639819e-01,1.540256250114360181e-01,3.661121411721245111e-02,1.174144108942235670e-01
1.991000000000000000e+03,6.000000000000000000e+00,7.400588592182256731e-01,2.599411407817743269e-01,6.001794370933824507e-02,1.999231970724360818e-01
1.991000000000000000e+03,7.000000000000000000e+00,4.789683562790721938e-01,5.210316437209278062e-01,1.749059245732971779e-01,3.461257191476306283e-01
1.991000000000000000e+03,8.000000000000000000e+00,5.313781510335866543e-01,4.686218489664133457e-01,1.747783108166875987e-01,2.938435381497257470e-01
1.991000000000000000e+03,9.000000000000000000e+00,6.043438944396022361e-01,3.956561055603978194e-01,7.935080910374203711e-02,3.163052964566557823e-01
1.991000000000000000e+03,1.000000000000000000e+01,6.748870058770155556e-01,3.251129941229844444e-01,5.714000964513882286e-02,2.679729844778456216e-01
1.991000000000000000e+03,1.100000000000000000e+01,8.467587865530956659e-01,1.532412134469043064e-01,4.954644097871349628e-02,1.036947724681908101e-01
1.991000000000000000e+03,1.200000000000000000e+01,9.527162628453045290e-01,4.728373715469551264e-02,3.470216561690088464e-02,1.258157153779463147e-02
1.992000000000000000e+03,1.000000000000000000e+00,9.351854618644818151e-01,6.481453813551818488e-02,3.101941825291273935e-02,3.379511988260544553e-02
1.992000000000000000e+03,2.000000000000000000e+00,9.574459735408825667e-01,4.255402645911743331e-02,2.830398396311659473e-02,1.425004249600083858e-02
1.992000000000000000e+03,3.000000000000000000e+00,9.527940902892827468e-01,4.720590971071726705e-02,2.949539974433946013e-02,1.771050996637780692e-02
1.992000000000000000e+03,4.000000000000000000e+00,8.749451237822223337e-01,1.250548762177777218e-01,3.669342639313089016e-02,8.836144982464683162e-02
1.992000000000000000e+03,5.000000000000000000e+00,7.783327622763032139e-01,2.216672377236968416e-01,3.324077152467741492e-02,1.884264661990194267e-01
1.992000000000000000e+03,6.000000000000000000e+00,6.457100647047894215e-01,3.542899352952105785e-01,9.670359199725231392e-02,2.575863432979582646e-01
1.992000000000000000e+03,7.000000000000000000e+00,5.150105053534089761e-01,4.849894946465910239e-01,1.825277763298345790e-01,3.024617183167564449e-01
1.992000000000000000e+03,8.000000000000000000e+00,4.871034920979693261e-01,5.128965079020306739e-01,1.543420296077901432e-01,3.585544782942405306e-01
1.992000000000000000e+03,9.000000000000000000e+00,7.424075560149281383e-01,2.575924439850719172e-01,4.504984210212942264e-02,2.125426018829424946e-01
1.992000000000000000e+03,1.000000000000000000e+01,8.034250999205945210e-01,1.965749000794054790e-01,2.103561752815086283e-02,1.755392825512546162e-01
1.992000000000000000e+03,1.100000000000000000e+01,8.714900888203152007e-01,1.285099111796848548e-01,4.416497134006473757e-02,8.434493983962011721e-02
1.992000000000000000e+03,1.200000000000000000e+01,9.463652752721273265e-01,5.363472472787263884e-02,3.067303412201847351e-02,2.296169060585416533e-02
1.993000000000000000e+03,1.000000000000000000e+00,9.443695941204285349e-01,5.563040587957147898e-02,3.640251607578819104e-02,1.922788980378328447e-02
1.993000000000000000e+03,2.000000000000000000e+00,9.444535722487577001e-01,5.554642775124234849e-02,4.660026465623419434e-02,8.946163095008155888e-03
1.993000000000000000e+03,3.000000000000000000e+00,9.485177147543832898e-01,5.148228524561666852e-02,3.621487198969721572e-02,1.526741325591945281e-02
1.993000000000000000e+03,4.000000000000000000e+00,7.957858481340011059e-01,2.042141518659988664e-01,4.045202881869314204e-02,1.637621230473057243e-01
1.993000000000000000e+03,5.000000000000000000e+00,5.824964079097005865e-01,4.175035920902994691e-01,8.673789812522730847e-02,3.307656939650721606e-01
1.993000000000000000e+03,6.000000000000000000e+00,6.363117122830086458e-01,3.636882877169912986e-01,1.306567845782273529e-01,2.330315031387639457e-01
1.993000000000000000e+03,7.000000000000000000e+00,6.314607156233565943e-01,3.685392843766434057e-01,1.264160516716598404e-01,2.421232327049835653e-01
1.993000000000000000e+03,8.000000000000000000e+00,3.370035847261926287e-01,6.629964152738073713e-01,2.154492262692031534e-01,4.475471890046042178e-01
1.993000000000000000e+03,9.000000000000000000e+00,6.486517504487974151e-01,3.513482495512025294e-01,4.381335208863001984e-02,3.075348974625725096e-01
1.993000000000000000e+03,1.000000000000000000e+01,8.492872557441550896e-01,1.507127442558449659e-01,3.213533373855161079e-02,1.185774105172933551e-01
1.993000000000000000e+03,1.100000000000000000e+01,9.011091422908875659e-01,9.889085770911246187e-02,3.865829274534349907e-02,6.023256496376896280e-02
1.993000000000000000e+03,1.200000000000000000e+01,9.572443664767659177e-01,4.275563352323413085e-02,2.561285540145388784e-02,1.714277812178024302e-02
1.994000000000000000e+03,1.000000000000000000e+00,9.565246641736954158e-01,4.347533582630453558e-02,2.682602587377000761e-02,1.664930995253452797e-02
1.994000000000000000e+03,2.000000000000000000e+00,9.546015099524381986e-01,4.539849004756183609e-02,2.588989709657616572e-02,1.950859295098567037e-02
1.994000000000000000e+03,3.000000000000000000e+00,9.308435194243543931e-01,6.915648057564557916e-02,3.795519725592846894e-02,3.120128331971711022e-02
1.994000000000000000e+03,4.000000000000000000e+00,8.859426880360186107e-01,1.140573119639813338e-01,3.526448633462898885e-02,7.879282562935234491e-02
1.994000000000000000e+03,5.000000000000000000e+00,6.796627994486549307e-01,3.203372005513450693e-01,4.996769027484937453e-02,2.703695102764956948e-01
1.994000000000000000e+03,6.000000000000000000e+00,6.807758079073145119e-01,3.192241920926854881e-01,7.278720139707736680e-02,2.464369906956081213e-01
1.994000000000000000e+03,7.000000000000000000e+00,5.936686059602227505e-01,4.063313940397773050e-01,1.890399304327641805e-01,2.172914636070131245e-01
1.994000000000000000e+03,8.000000000000000000e+00,4.173028071518646298e-01,5.826971928481353702e-01,1.766799256143517516e-01,4.060172672337836186e-01
1.994000000000000000e+03,9.000000000000000000e+00,5.604304157018721311e-01,4.395695842981278689e-01,1.167381259213025047e-01,3.228314583768253643e-01
1.994000000000000000e+03,1.000000000000000000e+01,7.984877072591103353e-01,2.015122927408896092e-01,4.237230988161869161e-02,1.591399828592709176e-01
1.994000000000000000e+03,1.100000000000000000e+01,8.790216030125053148e-01,1.209783969874946713e-01,3.025468850097882967e-02,9.072370848651584163e-02
1.994000000000000000e+03,1.200000000000000000e+01,9.220146635803994073e-01,7.798533641960057883e-02,3.315410867390004152e-02,4.483122774570053731e-02
